time,temperature
2024-10-01 00:00:00,29.918747187062515
2024-10-01 00:00:01,30.00927416030783
2024-10-01 00:00:02,30.129260003151145
2024-10-01 00:00:03,29.96554756083281
2024-10-01 00:00:04,29.91212399736955
2024-10-01 00:00:05,29.659338574454377
2024-10-01 00:00:06,29.888009659051285
2024-10-01 00:00:07,30.016813370232388
2024-10-01 00:00:08,30.076013738916377
2024-10-01 00:00:09,30.126933621051663
2024-10-01 00:00:10,29.910979894914036
2024-10-01 00:00:11,29.80858823845166
2024-10-01 00:00:12,30.147265795952446
2024-10-01 00:00:13,29.966252467604686
2024-10-01 00:00:14,30.175031079839812
2024-10-01 00:00:15,30.18518492921063
2024-10-01 00:00:16,29.829453499804465
2024-10-01 00:00:17,29.972221063826446
2024-10-01 00:00:18,29.940789912031356
2024-10-01 00:00:19,30.331328321340973
2024-10-01 00:00:20,29.99138268842026
2024-10-01 00:00:21,29.840800996775176
2024-10-01 00:00:22,29.804647611459657
2024-10-01 00:00:23,30.134691376445247
2024-10-01 00:00:24,29.98105986549738
2024-10-01 00:00:25,30.415022835056455
2024-10-01 00:00:26,30.21518155107833
2024-10-01 00:00:27,30.02470645469224
2024-10-01 00:00:28,30.003214302029487
2024-10-01 00:00:29,30.077732788721978
2024-10-01 00:00:30,30.13110685056248
2024-10-01 00:00:31,29.69326290136968
2024-10-01 00:00:32,30.047129050397352
2024-10-01 00:00:33,30.22498094860304
2024-10-01 00:00:34,29.801949125107228
2024-10-01 00:00:35,30.024012784157698
2024-10-01 00:00:36,30.18074126815633
2024-10-01 00:00:37,30.125051570671566
2024-10-01 00:00:38,30.165763861425702
2024-10-01 00:00:39,30.171472840577454
2024-10-01 00:00:40,29.90169055018192
2024-10-01 00:00:41,30.227108129745105
2024-10-01 00:00:42,29.94125035759905
2024-10-01 00:00:43,29.735639286518435
2024-10-01 00:00:44,29.99304636078424
2024-10-01 00:00:45,29.92585564017901
2024-10-01 00:00:46,30.30852633948665
2024-10-01 00:00:47,29.76507904042035
2024-10-01 00:00:48,29.999587234700666
2024-10-01 00:00:49,30.403033052946796
2024-10-01 00:00:50,30.01753422339819
2024-10-01 00:00:51,30.265998088598366
2024-10-01 00:00:52,30.474084127359585
